Shop Code,Recency,Frequency,Monetary,Volatility,True_Churn,R_Score,V_Score,F_Score,M_Score,DaysSinceFirstPurchase,DSP_Score
Shop 038,20,59,110683.99999999999,9.085636316577443,1,3,1,5,5,460,5
Shop 082,26,25,98269.7864,2.9372483793314275,1,3,5,5,5,460,5
Shop 153,101,4,10603.952,6.796874987232889,1,1,1,1,2,458,5
Shop 189,11,13,75370.848,2.2368980989251033,1,4,5,4,5,468,5
Shop 205,460,1,1598.0032,0.0,1,1,5,1,1,460,5
Shop 212,130,12,28417.467999999997,5.590020781116728,1,1,2,4,4,468,5
Shop 213,81,6,12583.425599999999,3.7277078503269783,1,1,4,2,3,454,5
Shop 319,44,21,62472.6928,5.7237125232333375,1,2,2,5,5,471,5
Shop 351,13,49,113678.60399999999,6.358068066457861,1,4,2,5,5,459,5
Shop 375,300,10,12651.5352,4.989764498517428,1,1,3,3,3,460,5
Shop 464,255,9,20225.4832,3.950968106632213,1,1,4,3,3,468,5
Shop 537,13,21,191529.34,7.258245879515049,1,4,1,5,5,467,5
Shop 538,62,37,33206.8048,3.520638783532162,1,1,4,5,4,472,5
Shop 543,367,5,6147.092,5.109439432230908,1,1,3,2,2,468,5
Shop 619,340,4,4877.223199999999,5.246280841686014,1,1,3,1,1,472,5
Shop 637,454,1,3324.768,0.0,1,1,5,1,1,454,5
Shop 643,354,8,17548.2992,5.755236821269999,1,1,2,2,3,472,5
Shop 647,200,10,22592.8936,5.949537249651182,1,1,2,3,4,467,5
Shop 673,425,2,4987.388,6.557438524302,1,1,2,1,1,454,5
Shop 679,353,3,11667.0376,8.009208072874456,1,1,1,1,2,468,5
Shop 682,353,3,14630.82,7.597001658631406,1,1,1,1,3,471,5
